ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
304,0,0,80,0,-80
305,1,0,1,0,-1
306,1,0,5,0,-5
307,1,1,835,1615,780
308,0,0,2,0,-2
309,1,0,42,0,-42
310,1,0,16,0,-16
311,1,0,34,0,-34
312,1,0,36,0,-36
313,0,0,15,0,-15
314,1,1,35,1345,1310
315,0,0,76,0,-76
316,0,0,71,0,-71
317,1,1,952,1283,331
318,1,0,2,0,-2
319,0,0,5,0,-5
320,1,1,227,1643,1416
321,1,1,178,1244,1066
322,1,1,458,1231,773
323,0,0,185,0,-185
324,0,0,114,0,-114
325,1,0,55,0,-55
326,0,0,37,0,-37
327,0,0,242,0,-242
328,0,0,13,0,-13
329,1,1,462,1648,1186
330,1,1,47,1487,1440
331,0,0,39,0,-39
332,1,1,309,1292,983
333,1,0,178,0,-178
334,1,1,459,1637,1178
335,1,0,50,0,-50
336,0,0,8,0,-8
337,1,1,314,1217,903
338,0,0,2,0,-2
339,1,0,34,0,-34
340,0,0,10,0,-10
341,1,0,2,0,-2
342,1,1,891,1222,331
343,1,0,11,0,-11
344,1,0,10,0,-10
345,1,0,6,0,-6
346,0,0,113,0,-113
347,1,0,7,0,-7
348,1,1,444,1680,1236
349,1,1,198,1406,1208
350,0,0,59,0,-59
351,1,0,9,0,-9
352,1,0,8,0,-8
353,1,0,157,0,-157
354,1,1,683,1271,588
355,1,1,101,1227,1126
356,0,0,190,0,-190
357,1,1,279,1226,947
358,0,0,17,0,-17
359,1,1,171,1439,1268
360,1,1,16,1683,1667
361,0,0,9,0,-9
362,1,0,54,0,-54
363,0,0,186,0,-186
364,1,1,644,1853,1209
365,1,0,122,0,-122
366,1,0,17,0,-17
367,1,1,322,1271,949
368,0,0,11,0,-11
369,1,0,106,0,-106
370,1,0,101,0,-101
371,0,0,203,0,-203
372,1,0,111,0,-111
373,0,0,52,0,-52
374,0,0,92,0,-92
375,1,0,30,0,-30
376,0,0,34,0,-34
377,0,0,104,0,-104
378,1,0,4,0,-4
379,1,0,12,0,-12
380,1,1,186,1859,1673
381,1,1,46,1271,1225
382,1,1,1254,1299,45
383,1,0,23,0,-23
384,1,0,57,0,-57
385,0,0,102,0,-102
386,0,0,0,0,0
387,1,0,44,0,-44
388,1,1,558,1424,866
389,0,0,27,0,-27
390,0,0,12,0,-12
391,1,0,24,0,-24
392,0,0,8,0,-8
393,1,1,239,1209,970
394,0,0,47,0,-47
395,0,0,16,0,-16
396,1,1,212,1269,1057
397,1,0,59,0,-59
398,1,0,10,0,-10
399,0,0,20,0,-20
400,0,0,9,0,-9
401,1,0,5,0,-5
402,1,1,43,1215,1172
403,0,0,57,0,-57
404,1,0,214,0,-214
405,1,0,65,0,-65
406,1,1,345,1524,1179
407,1,0,4,0,-4
408,0,0,29,0,-29
409,1,1,1089,1211,122
410,1,1,329,1222,893
411,1,0,42,0,-42
412,1,1,40,1456,1416
413,0,0,16,0,-16
414,1,0,41,0,-41
415,0,0,95,0,-95
416,0,0,51,0,-51
417,1,0,0,0,0
418,1,0,81,0,-81
419,1,1,2016,1480,-536
420,1,0,51,0,-51
421,1,0,153,0,-153
422,1,0,7,0,-7
423,0,0,81,0,-81
424,1,0,95,0,-95
425,0,0,21,0,-21
426,1,1,202,1254,1052
427,1,1,486,1897,1411
428,0,0,48,0,-48
429,0,0,33,0,-33
430,0,0,22,0,-22
431,1,0,201,0,-201
432,1,0,72,0,-72
433,1,1,229,1235,1006
434,1,1,84,1692,1608
435,0,0,103,0,-103
436,1,0,11,0,-11
437,1,1,229,1993,1764
438,0,0,95,0,-95
439,0,0,1,0,-1
440,0,0,254,0,-254
441,1,0,27,0,-27
442,1,0,5,0,-5
443,1,0,2,0,-2
444,1,0,112,0,-112
445,1,1,120,1373,1253
446,0,0,15,0,-15
447,1,0,36,0,-36
448,1,1,853,1241,388
449,0,0,8,0,-8
450,0,0,7,0,-7
451,1,0,113,0,-113
452,1,1,127,1546,1419
453,1,1,1080,1657,577
454,1,0,17,0,-17
455,1,1,192,1668,1476
456,1,1,159,1832,1673
457,1,0,88,0,-88
458,0,0,1,0,-1
459,1,0,19,0,-19
460,0,0,69,0,-69
461,1,1,735,1213,478
462,1,1,1684,1436,-248
463,1,1,34,1241,1207
464,1,0,2,0,-2
465,0,0,114,0,-114
466,1,0,19,0,-19
467,0,0,205,0,-205
468,1,0,93,0,-93
469,1,0,8,0,-8
470,1,1,469,3658,3189
471,0,0,27,0,-27
472,1,1,709,3099,2390
473,0,0,29,0,-29
474,0,0,0,0,0
475,1,1,671,1223,552
476,1,0,30,0,-30
477,1,0,95,0,-95
478,1,0,44,0,-44
479,0,0,33,0,-33
480,0,0,0,0,0
481,0,0,31,0,-31
482,0,0,85,0,-85
483,1,0,217,0,-217
484,1,1,532,1590,1058
485,1,0,25,0,-25
486,0,0,104,0,-104
487,0,0,41,0,-41
488,1,0,11,0,-11
489,0,0,25,0,-25
490,1,0,15,0,-15
491,0,0,74,0,-74
492,1,1,362,1333,971
493,1,1,2584,1272,-1312
494,0,0,183,0,-183
495,0,0,57,0,-57
496,0,0,233,0,-233
497,0,0,66,0,-66
498,1,0,6,0,-6
499,1,1,916,4134,3218
500,1,0,2,0,-2
501,1,0,33,0,-33
502,0,0,21,0,-21
503,1,0,35,0,-35
504,0,0,49,0,-49
505,0,0,33,0,-33
506,1,0,1,0,-1
507,1,1,615,1512,897
508,0,0,75,0,-75
509,1,1,246,1242,996
510,0,0,6,0,-6
511,1,0,22,0,-22
512,1,1,529,1516,987
513,1,1,404,1618,1214
514,0,0,28,0,-28
515,1,1,371,1562,1191
516,1,1,1204,1316,112
517,1,0,2,0,-2
518,0,0,23,0,-23
519,1,1,77,1277,1200
520,0,0,17,0,-17
521,0,0,51,0,-51
522,0,0,54,0,-54
523,1,0,17,0,-17
524,0,0,26,0,-26
525,1,1,262,1750,1488
526,0,0,0,0,0
527,1,0,23,0,-23
528,0,0,120,0,-120
529,1,0,232,0,-232
530,1,0,42,0,-42
531,1,0,45,0,-45
532,1,1,48,1317,1269
533,1,0,22,0,-22
534,0,0,32,0,-32
535,1,1,370,1275,905
536,1,1,741,1556,815
537,0,0,29,0,-29
538,1,0,137,0,-137
539,0,0,18,0,-18
540,1,0,2,0,-2
541,1,1,376,1460,1084
542,1,1,49,3824,3775
543,0,0,232,0,-232
544,1,1,135,1710,1575
545,0,0,52,0,-52
546,1,1,1105,1620,515
547,1,1,421,2015,1594
548,0,0,77,0,-77
549,0,0,1,0,-1
550,0,0,60,0,-60
551,0,0,40,0,-40
552,0,0,32,0,-32
553,1,0,68,0,-68
554,0,0,22,0,-22
555,1,0,65,0,-65
556,1,1,361,1323,962
557,0,0,28,0,-28
558,0,0,26,0,-26
559,1,0,54,0,-54
560,1,0,106,0,-106
561,1,1,177,2050,1873
562,0,0,11,0,-11
563,1,0,22,0,-22
564,1,0,11,0,-11
565,1,1,865,1358,493
566,1,0,23,0,-23
567,0,0,2,0,-2
568,0,0,34,0,-34
569,0,0,40,0,-40
570,0,0,38,0,-38
571,1,1,130,1780,1650
572,0,0,54,0,-54
573,1,1,126,1411,1285
574,1,1,185,1377,1192
575,1,1,319,1565,1246
576,1,0,67,0,-67
577,0,0,41,0,-41
578,1,1,602,1516,914
579,0,0,35,0,-35
580,0,0,47,0,-47
581,1,0,31,0,-31
582,0,0,147,0,-147
583,1,0,4,0,-4
584,1,1,403,2882,2479
585,1,0,78,0,-78
586,1,0,22,0,-22
587,0,0,8,0,-8
588,0,0,54,0,-54
589,1,1,176,1710,1534
590,1,0,43,0,-43
591,0,0,31,0,-31
592,0,0,8,0,-8
593,0,0,13,0,-13
594,0,0,48,0,-48
595,0,0,12,0,-12
596,1,1,407,1514,1107
597,1,0,47,0,-47
598,1,1,423,2774,2351
599,1,1,1605,1282,-323
600,0,0,51,0,-51
601,0,0,36,0,-36
602,1,1,389,1397,1008
603,1,1,344,1342,998
604,0,0,38,0,-38
605,1,1,160,5229,5069
606,1,1,455,1467,1012
607,1,1,360,3014,2654
608,1,1,435,1593,1158
609,0,0,65,0,-65
610,0,0,129,0,-129
611,0,0,25,0,-25
612,1,1,288,1239,951
613,1,1,297,1431,1134
614,1,0,17,0,-17
615,1,0,102,0,-102
616,1,0,9,0,-9
617,1,0,28,0,-28
618,1,1,409,1229,820
619,1,0,28,0,-28
620,0,0,0,0,0
621,1,1,1451,2262,811
622,1,0,33,0,-33
623,0,0,19,0,-19
624,1,1,1051,1732,681
625,1,1,213,1234,1021
626,0,0,1,0,-1
627,1,0,112,0,-112
628,0,0,2,0,-2
629,1,0,0,0,0
630,0,0,27,0,-27
631,1,1,38,1553,1515
632,1,0,22,0,-22
633,1,0,66,0,-66
634,1,1,63,1256,1193
635,0,0,14,0,-14
636,0,0,23,0,-23
637,1,0,29,0,-29
638,0,0,16,0,-16
639,0,0,66,0,-66
640,0,0,18,0,-18
641,0,0,72,0,-72
642,1,1,141,1488,1347
643,0,0,16,0,-16
644,0,0,24,0,-24
645,0,0,32,0,-32
646,0,0,0,0,0
647,0,0,122,0,-122
648,0,0,14,0,-14
649,0,0,3,0,-3
650,1,1,80,2029,1949
651,1,1,958,1600,642
652,1,0,8,0,-8
653,1,0,50,0,-50
654,1,1,409,1335,926
655,1,0,88,0,-88
656,1,1,501,1645,1144
657,0,0,26,0,-26
658,1,0,358,0,-358
659,1,1,381,2029,1648
660,0,0,108,0,-108
661,0,0,13,0,-13
662,1,1,365,1470,1105
663,1,0,14,0,-14
664,0,0,111,0,-111
665,1,1,453,1458,1005
666,1,1,1305,1858,553
667,1,0,6,0,-6
668,1,1,828,1524,696
669,0,0,47,0,-47
670,0,0,25,0,-25
671,1,0,28,0,-28
672,0,0,21,0,-21
673,0,0,31,0,-31
674,1,0,7,0,-7
675,1,1,1977,1461,-516
676,1,0,7,0,-7
677,0,0,60,0,-60
678,0,0,116,0,-116
679,0,0,39,0,-39
680,0,0,27,0,-27
681,0,0,0,0,0
682,1,0,148,0,-148
683,0,0,12,0,-12
684,1,0,35,0,-35
685,1,0,75,0,-75
686,0,0,43,0,-43
687,1,0,29,0,-29
688,1,1,1219,1473,254
689,0,0,16,0,-16
690,1,0,100,0,-100
691,0,0,107,0,-107
692,1,0,29,0,-29
693,0,0,34,0,-34
694,1,0,1,0,-1
695,1,1,67,2841,2774
696,1,0,21,0,-21
697,0,0,29,0,-29
698,1,1,853,1417,564
699,0,0,77,0,-77
700,1,1,1133,1604,471
701,0,0,113,0,-113
702,1,1,163,1207,1044
703,1,1,551,3166,2615
704,0,0,19,0,-19
705,0,0,1,0,-1
706,1,0,94,0,-94
707,0,0,8,0,-8
708,1,0,36,0,-36
709,1,0,73,0,-73
710,1,0,105,0,-105
711,1,0,123,0,-123
712,1,1,41,1365,1324
713,0,0,24,0,-24
714,0,0,35,0,-35
715,1,1,146,1530,1384
716,1,1,1397,1656,259
717,1,0,3,0,-3
718,0,0,10,0,-10
719,1,1,421,1417,996
720,0,0,36,0,-36
721,0,0,22,0,-22
722,1,1,192,5119,4927
723,1,1,753,1257,504
724,1,1,724,1271,547
725,0,0,18,0,-18
726,0,0,22,0,-22
727,1,1,1863,1452,-411
728,1,0,4,0,-4
729,1,1,315,2029,1714
730,1,1,452,1237,785
731,1,1,358,1679,1321
732,0,0,213,0,-213
733,0,0,17,0,-17
734,0,0,116,0,-116
735,0,0,33,0,-33
736,0,0,27,0,-27
737,1,0,4,0,-4
738,0,0,73,0,-73
739,1,0,12,0,-12
740,0,0,54,0,-54
741,0,0,18,0,-18
742,1,0,166,0,-166
743,1,0,44,0,-44
744,0,0,51,0,-51
745,0,0,4,0,-4
746,1,0,5,0,-5
747,1,1,456,2599,2143
748,1,1,426,1283,857
749,0,0,19,0,-19
750,1,1,464,1263,799
751,1,1,879,1242,363
752,1,0,180,0,-180
753,1,1,774,1382,608
754,0,0,46,0,-46
755,1,0,0,0,0
756,0,0,79,0,-79
757,1,0,48,0,-48
758,1,1,139,1249,1110
759,1,1,157,1543,1386
760,0,0,36,0,-36
761,1,0,2,0,-2
762,1,0,4,0,-4
763,1,0,11,0,-11
764,0,0,117,0,-117
765,0,0,63,0,-63
766,1,1,165,1531,1366
767,0,0,25,0,-25
768,1,1,461,1214,753
769,1,0,33,0,-33
770,0,0,2,0,-2
771,1,1,79,1445,1366
772,0,0,74,0,-74
773,1,1,402,2298,1896
774,1,1,2249,1284,-965
775,0,0,6,0,-6
776,0,0,7,0,-7
777,0,0,89,0,-89
778,1,1,541,1552,1011
779,0,0,84,0,-84
780,0,0,107,0,-107
781,0,0,131,0,-131
782,0,0,138,0,-138
783,0,0,3,0,-3
784,1,0,12,0,-12
785,1,0,43,0,-43
786,1,0,25,0,-25
787,0,0,9,0,-9
788,1,1,596,1264,668
789,1,1,288,1347,1059
790,1,1,497,1241,744
791,0,0,5,0,-5
792,0,0,32,0,-32
793,0,0,1,0,-1
794,1,1,306,1482,1176
795,0,0,14,0,-14
796,1,0,58,0,-58
797,1,0,16,0,-16
798,1,0,6,0,-6
799,1,1,1099,1941,842
800,1,0,84,0,-84
801,1,1,676,1306,630
802,1,1,158,1912,1754
803,1,0,2,0,-2
804,0,0,6,0,-6
805,1,0,20,0,-20
806,1,1,410,1395,985
807,1,0,7,0,-7
808,0,0,55,0,-55
809,0,0,121,0,-121
810,0,0,0,0,0
811,1,1,166,1561,1395
812,1,1,102,1449,1347
813,1,0,112,0,-112
814,1,0,1,0,-1
815,0,0,24,0,-24
816,0,0,6,0,-6
817,0,0,13,0,-13
818,0,0,2,0,-2
819,1,1,430,1361,931
820,1,0,125,0,-125
821,0,0,137,0,-137
822,0,0,24,0,-24
823,1,0,67,0,-67
824,1,0,5,0,-5
825,0,0,25,0,-25
826,0,0,44,0,-44
827,1,1,26,1209,1183
828,1,1,402,1437,1035
829,1,0,30,0,-30
830,0,0,107,0,-107
831,1,1,525,1374,849
832,0,0,19,0,-19
833,1,1,153,1366,1213
834,0,0,99,0,-99
835,0,0,28,0,-28
836,1,1,1075,1976,901
837,0,0,10,0,-10
838,1,1,517,1232,715
839,1,0,36,0,-36
840,1,0,38,0,-38
841,1,0,13,0,-13
842,0,0,26,0,-26
843,0,0,85,0,-85
844,1,1,630,1458,828
845,1,0,71,0,-71
846,1,1,138,1284,1146
847,1,1,121,1415,1294
848,0,0,48,0,-48
849,0,0,6,0,-6
850,0,0,26,0,-26
851,1,1,2113,1297,-816
852,0,0,41,0,-41
853,1,1,92,1674,1582
854,1,1,765,2548,1783
855,0,0,93,0,-93
856,1,1,1571,1823,252
857,1,0,11,0,-11
858,1,1,30,1449,1419
859,0,0,8,0,-8
860,1,0,20,0,-20
861,1,1,1688,2027,339
862,0,0,167,0,-167
863,1,1,251,1258,1007
864,0,0,118,0,-118
865,0,0,10,0,-10
866,0,0,62,0,-62
867,1,0,54,0,-54
868,0,0,28,0,-28
869,0,0,12,0,-12
870,1,1,984,1469,485
871,1,0,80,0,-80
872,0,0,32,0,-32
873,1,1,148,1364,1216
874,1,1,354,1384,1030
875,1,0,3,0,-3
876,1,0,58,0,-58
877,1,1,320,1279,959
878,0,0,18,0,-18
879,0,0,4,0,-4
880,1,1,1539,1482,-57
881,1,1,173,9242,9069
882,1,1,70,1210,1140
883,1,1,364,3863,3499
884,0,0,56,0,-56
885,1,0,34,0,-34
886,1,1,451,1222,771
887,1,1,300,1422,1122
888,0,0,66,0,-66
889,0,0,10,0,-10
890,0,0,11,0,-11
891,0,0,54,0,-54
892,0,0,134,0,-134
893,1,0,100,0,-100
894,1,1,562,1927,1365
895,1,0,49,0,-49
896,1,1,199,1523,1324
897,1,0,15,0,-15
898,0,0,35,0,-35
899,1,0,69,0,-69
900,1,0,25,0,-25
901,1,1,667,1304,637
902,0,0,42,0,-42
903,0,0,22,0,-22
904,0,0,20,0,-20
905,1,0,5,0,-5
906,0,0,17,0,-17
907,0,0,35,0,-35
908,1,0,7,0,-7
909,1,0,114,0,-114
910,0,0,8,0,-8
911,1,0,19,0,-19
912,0,0,25,0,-25
913,1,1,328,1694,1366
914,0,0,20,0,-20
915,1,1,387,1321,934
916,1,1,478,1292,814
917,1,1,121,1706,1585
918,1,1,442,1894,1452
919,1,0,28,0,-28
920,0,0,90,0,-90
921,1,0,77,0,-77
922,1,0,21,0,-21
923,1,1,440,1278,838
924,1,1,476,1269,793
925,0,0,113,0,-113
926,0,0,103,0,-103
927,0,0,38,0,-38
928,1,1,348,1293,945
929,0,0,35,0,-35
930,1,1,109,1201,1092
931,1,0,272,0,-272
932,1,1,421,1291,870
933,0,0,0,0,0
934,0,0,37,0,-37
935,1,0,70,0,-70
936,1,0,131,0,-131
937,0,0,72,0,-72
938,0,0,80,0,-80
939,1,0,40,0,-40
940,1,0,20,0,-20
941,0,0,31,0,-31
942,1,0,27,0,-27
943,1,1,349,2269,1920
944,0,0,19,0,-19
945,1,0,25,0,-25
946,1,1,1020,1681,661
947,1,0,23,0,-23
948,1,0,72,0,-72
949,0,0,44,0,-44
950,1,0,0,0,0
951,1,0,91,0,-91
952,0,0,84,0,-84
953,0,0,102,0,-102
954,1,0,28,0,-28
955,1,0,19,0,-19
956,1,0,52,0,-52
957,0,0,170,0,-170
958,0,0,37,0,-37
959,1,0,18,0,-18
960,1,1,649,2213,1564
961,0,0,0,0,0
962,1,1,1061,1247,186
963,0,0,58,0,-58
964,0,0,56,0,-56
965,1,1,1261,1265,4
966,0,0,87,0,-87
967,0,0,67,0,-67
968,0,0,7,0,-7
969,0,0,0,0,0
970,0,0,120,0,-120
971,0,0,49,0,-49
972,0,0,78,0,-78
973,1,1,941,1277,336
974,1,1,278,1253,975
975,0,0,16,0,-16
976,1,0,24,0,-24
977,1,1,551,1946,1395
978,0,0,125,0,-125
979,0,0,29,0,-29
980,1,1,684,2477,1793
981,0,0,23,0,-23
982,1,1,1222,1445,223
983,1,1,714,1324,610
984,0,0,78,0,-78
985,1,1,97,1561,1464
986,0,0,49,0,-49
987,1,0,98,0,-98
988,0,0,28,0,-28
989,1,0,82,0,-82
990,1,0,11,0,-11
991,1,0,73,0,-73
992,1,1,245,1519,1274
993,0,0,45,0,-45
994,1,0,50,0,-50
995,1,1,409,1838,1429
996,1,0,39,0,-39
997,1,0,10,0,-10
998,0,0,29,0,-29
999,1,0,41,0,-41
1000,0,0,34,0,-34
1001,0,0,5,0,-5
1002,0,0,9,0,-9
1003,1,0,15,0,-15
1004,0,0,162,0,-162
1005,1,1,596,1249,653
1006,0,0,100,0,-100
1007,0,0,1,0,-1
1008,0,0,41,0,-41
1009,1,0,50,0,-50
1010,1,0,12,0,-12
1011,0,0,68,0,-68
1012,0,0,83,0,-83
1013,1,1,219,1205,986
1014,0,0,12,0,-12
1015,1,0,19,0,-19
1016,1,0,5,0,-5
1017,1,0,243,0,-243
1018,1,0,116,0,-116
1019,1,0,20,0,-20
1020,1,1,94,1748,1654
1021,1,0,15,0,-15
1022,1,0,9,0,-9
1023,0,0,14,0,-14
1024,1,0,78,0,-78
1025,1,0,38,0,-38
1026,1,1,976,1230,254
1027,1,0,46,0,-46
1028,0,0,27,0,-27
1029,0,0,65,0,-65
1030,1,0,11,0,-11
1031,0,0,6,0,-6
1032,1,0,8,0,-8
1033,0,0,53,0,-53
1034,0,0,21,0,-21
1035,1,1,443,1221,778
1036,0,0,24,0,-24
1037,0,0,141,0,-141
1038,1,0,65,0,-65
1039,0,0,31,0,-31
1040,1,0,143,0,-143
1041,1,1,480,1869,1389
1042,1,1,552,2253,1701
1043,0,0,68,0,-68
1044,1,0,34,0,-34
1045,1,1,318,1928,1610
1046,0,0,8,0,-8
1047,1,1,663,1259,596
1048,1,0,113,0,-113
1049,1,0,198,0,-198
1050,1,0,28,0,-28
